¡            Char01UpsideDownExclaimation
¿            Char02UpsideDownQuestion
?            Char03QuestionUnknown1of3
?            Char04QuestionUnknown2of3
?            Char05QuestionUnknown3of3
Á            Char06AUpperURAccent
á            Char07ALowerURAccent
À            Char08AUpperULAccent
à            Char09ALowerULAccent
Â            Char10AUpperCaret
â            Char11ALowerCaret
Ä            Char12AUpperUmlaut
ä            Char13ALowerUmlaut
Ã            Char14AUpperTilde
ã            Char15ALowerTilde
Å            Char16AUpperDegree
å            Char17ALowerDegree
Æ            Char18AUpperAe
æ            Char19ALowerAe
Ç            Char20CUpperUnderAccent
ç            Char21CLowerUnderAccent
Ð            Char22DUpperHorizCross
ð            Char23OLowerUpside9
É            Char24EUpperURAccent
é            Char25ELowerURAccent
È            Char26EUpperULAccent
è            Char27ELowerULAccent
Ê            Char28EUpperCaret
ê            Char29ELowerCaret
Ë            Char30EUpperUmlaut
ë            Char31ELowerUmlaut
Í            Char32IUpperURAccent
í            Char33ILowerURAccent
Ì            Char34IUpperULAccent
ì            Char35ILowerULAccent
Î            Char36IUpperCaret
î            Char37ILowerCaret
Ï            Char38IUpperUmlaut
ï            Char39ILowerUmlaut
Ñ            Char40NUpperTilde
ñ            Char41NLowerTilde
Ó            Char42OUpperURAccent
ó            Char43OLowerURAccent
Ò            Char44OUpperULAccent
ò            Char45OLowerULAccent
Ô            Char46OUpperCaret
ô            Char47OLowerCaret
Ö            Char48OUpperUmlaut
ö            Char49OLowerUmlaut
Õ            Char50OUpperTilde
õ            Char51OLowerTilde
Ø            Char52OUpperURCross
ø            Char53OLowerURCross
ß            Char54SLowerUpperB
Ú            Char55UUpperURAccent
ú            Char56ULowerURAccent
Ù            Char57UUpperULAccent
ù            Char58ULowerULAccent
Û            Char59UUpperCaret
û            Char60ULowerCaret
Ü            Char61UUpperUmlaut
ü            Char62ULowerUmlaut
Ý            Char63YUpperURAccent
ý            Char64YLowerURAccent
ÿ            Char65YLowerUmlaut
